Publication,Year_FY,Published_Date,Zone_No,Zone_Name,Peak_£/kW,YearRound_£/kW,HH_SGD_Adjustment_£/kW,HHTariff(Floored)_£/kW
Forecast,2027,12/09/2025,1,Northern Scotland,-1.836092,-36.242870,0.000000,0.000000
Forecast,2027,12/09/2025,2,Southern Scotland,-2.406216,-25.347772,0.000000,0.000000
Forecast,2027,12/09/2025,3,Northern,-3.719751,-9.868627,0.000000,0.000000
Forecast,2027,12/09/2025,4,North West,-1.813429,-3.613429,0.000000,0.000000
Forecast,2027,12/09/2025,5,Yorkshire,-2.807584,-2.185508,0.000000,0.000000
Forecast,2027,12/09/2025,6,N Wales & Mersey,-2.862316,0.854794,0.000000,0.000000
Forecast,2027,12/09/2025,7,East Midlands,-2.226429,2.161034,0.000000,0.000000
Forecast,2027,12/09/2025,8,Midlands,-1.538127,5.310706,0.000000,3.772579
Forecast,2027,12/09/2025,9,Eastern,1.492116,-0.846854,0.000000,0.645262
Forecast,2027,12/09/2025,10,South Wales,-4.023708,10.072202,0.000000,6.048494
Forecast,2027,12/09/2025,11,South East,4.232690,1.208145,0.000000,5.440835
Forecast,2027,12/09/2025,12,London,4.807569,2.248923,0.000000,7.056492
Forecast,2027,12/09/2025,13,Southern,2.623731,5.636696,0.000000,8.260427
Forecast,2027,12/09/2025,14,South Western,2.079893,11.839210,0.000000,13.919102
Forecast,2028,12/09/2025,1,Northern Scotland,-2.550630,-36.943279,0.000000,0.000000
Forecast,2028,12/09/2025,2,Southern Scotland,-3.016830,-25.908266,0.000000,0.000000
Forecast,2028,12/09/2025,3,Northern,-4.950326,-10.098865,0.000000,0.000000
Forecast,2028,12/09/2025,4,North West,-1.912934,-4.394641,0.000000,0.000000
Forecast,2028,12/09/2025,5,Yorkshire,-3.942476,-1.935185,0.000000,0.000000
Forecast,2028,12/09/2025,6,N Wales & Mersey,-1.904135,-0.256099,0.000000,0.000000
Forecast,2028,12/09/2025,7,East Midlands,-2.578801,2.233566,0.000000,0.000000
Forecast,2028,12/09/2025,8,Midlands,-1.073336,4.796499,0.000000,3.723162
Forecast,2028,12/09/2025,9,Eastern,1.435506,-0.517084,0.000000,0.918422
Forecast,2028,12/09/2025,10,South Wales,-2.116562,11.769114,0.000000,9.652552
Forecast,2028,12/09/2025,11,South East,4.513302,1.589689,0.000000,6.102991
Forecast,2028,12/09/2025,12,London,4.957282,2.616055,0.000000,7.573338
Forecast,2028,12/09/2025,13,Southern,2.676444,5.678392,0.000000,8.354836
Forecast,2028,12/09/2025,14,South Western,2.672187,12.291944,0.000000,14.964131
Forecast,2029,12/09/2025,1,Northern Scotland,-2.611756,-36.847493,0.000000,0.000000
Forecast,2029,12/09/2025,2,Southern Scotland,-2.733937,-25.633308,0.000000,0.000000
Forecast,2029,12/09/2025,3,Northern,-4.410733,-9.791024,0.000000,0.000000
Forecast,2029,12/09/2025,4,North West,-1.547218,-4.460245,0.000000,0.000000
Forecast,2029,12/09/2025,5,Yorkshire,-3.766662,-1.791036,0.000000,0.000000
Forecast,2029,12/09/2025,6,N Wales & Mersey,-1.648435,-0.724707,0.000000,0.000000
Forecast,2029,12/09/2025,7,East Midlands,-2.749512,2.164385,0.000000,0.000000
Forecast,2029,12/09/2025,8,Midlands,-1.211149,3.557314,0.000000,2.346165
Forecast,2029,12/09/2025,9,Eastern,1.538293,-0.154262,0.000000,1.384031
Forecast,2029,12/09/2025,10,South Wales,-4.744078,7.559093,0.000000,2.815015
Forecast,2029,12/09/2025,11,South East,5.108697,2.426523,0.000000,7.535220
Forecast,2029,12/09/2025,12,London,5.303764,2.987283,0.000000,8.291046
Forecast,2029,12/09/2025,13,Southern,3.038401,6.375863,0.000000,9.414264
Forecast,2029,12/09/2025,14,South Western,0.346276,10.987167,0.000000,11.333442
Forecast,2030,12/09/2025,1,Northern Scotland,-2.679530,-64.982749,0.000000,0.000000
Forecast,2030,12/09/2025,2,Southern Scotland,-2.805542,-47.271733,0.000000,0.000000
Forecast,2030,12/09/2025,3,Northern,-4.773402,-9.954223,0.000000,0.000000
Forecast,2030,12/09/2025,4,North West,-1.448704,-5.461631,0.000000,0.000000
Forecast,2030,12/09/2025,5,Yorkshire,-3.590914,0.378802,0.000000,0.000000
Forecast,2030,12/09/2025,6,N Wales & Mersey,-1.850570,-0.223244,0.000000,0.000000
Forecast,2030,12/09/2025,7,East Midlands,-2.533412,4.521965,0.000000,1.988553
