Publication,Year_FY,Published_Date,Zone_No,Zone_Name,NHH_Zonal_p/kWh,NHH_SGD_Adjustment_p/kWh,NHHTariff(Floored)_p/kWh
Forecast,2027,12/09/2025,1,Northern Scotland,0.000000,0.000000,0.000000
Forecast,2027,12/09/2025,2,Southern Scotland,0.000000,0.000000,0.000000
Forecast,2027,12/09/2025,3,Northern,0.000000,0.000000,0.000000
Forecast,2027,12/09/2025,4,North West,0.000000,0.000000,0.000000
Forecast,2027,12/09/2025,5,Yorkshire,0.000000,0.000000,0.000000
Forecast,2027,12/09/2025,6,N Wales & Mersey,0.000000,0.000000,0.000000
Forecast,2027,12/09/2025,7,East Midlands,0.000000,0.000000,0.000000
Forecast,2027,12/09/2025,8,Midlands,0.510019,0.000000,0.510019
Forecast,2027,12/09/2025,9,Eastern,0.093120,0.000000,0.093120
Forecast,2027,12/09/2025,10,South Wales,0.743938,0.000000,0.743938
Forecast,2027,12/09/2025,11,South East,0.786991,0.000000,0.786991
Forecast,2027,12/09/2025,12,London,0.762453,0.000000,0.762453
Forecast,2027,12/09/2025,13,Southern,1.126374,0.000000,1.126374
Forecast,2027,12/09/2025,14,South Western,2.026292,0.000000,2.026292
Forecast,2028,12/09/2025,1,Northern Scotland,0.000000,0.000000,0.000000
Forecast,2028,12/09/2025,2,Southern Scotland,0.000000,0.000000,0.000000
Forecast,2028,12/09/2025,3,Northern,0.000000,0.000000,0.000000
Forecast,2028,12/09/2025,4,North West,0.000000,0.000000,0.000000
Forecast,2028,12/09/2025,5,Yorkshire,0.000000,0.000000,0.000000
Forecast,2028,12/09/2025,6,N Wales & Mersey,0.000000,0.000000,0.000000
Forecast,2028,12/09/2025,7,East Midlands,0.000000,0.000000,0.000000
Forecast,2028,12/09/2025,8,Midlands,0.504326,0.000000,0.504326
Forecast,2028,12/09/2025,9,Eastern,0.132290,0.000000,0.132290
Forecast,2028,12/09/2025,10,South Wales,1.190914,0.000000,1.190914
Forecast,2028,12/09/2025,11,South East,0.881748,0.000000,0.881748
Forecast,2028,12/09/2025,12,London,0.822716,0.000000,0.822716
Forecast,2028,12/09/2025,13,Southern,1.137670,0.000000,1.137670
Forecast,2028,12/09/2025,14,South Western,2.174083,0.000000,2.174083
Forecast,2029,12/09/2025,1,Northern Scotland,0.000000,0.000000,0.000000
Forecast,2029,12/09/2025,2,Southern Scotland,0.000000,0.000000,0.000000
Forecast,2029,12/09/2025,3,Northern,0.000000,0.000000,0.000000
Forecast,2029,12/09/2025,4,North West,0.000000,0.000000,0.000000
Forecast,2029,12/09/2025,5,Yorkshire,0.000000,0.000000,0.000000
Forecast,2029,12/09/2025,6,N Wales & Mersey,0.000000,0.000000,0.000000
Forecast,2029,12/09/2025,7,East Midlands,0.000000,0.000000,0.000000
Forecast,2029,12/09/2025,8,Midlands,0.318604,0.000000,0.318604
Forecast,2029,12/09/2025,9,Eastern,0.201097,0.000000,0.201097
Forecast,2029,12/09/2025,10,South Wales,0.348328,0.000000,0.348328
Forecast,2029,12/09/2025,11,South East,1.095356,0.000000,1.095356
Forecast,2029,12/09/2025,12,London,0.907368,0.000000,0.907368
Forecast,2029,12/09/2025,13,Southern,1.290088,0.000000,1.290088
Forecast,2029,12/09/2025,14,South Western,1.651759,0.000000,1.651759
Forecast,2030,12/09/2025,1,Northern Scotland,0.000000,0.000000,0.000000
Forecast,2030,12/09/2025,2,Southern Scotland,0.000000,0.000000,0.000000
Forecast,2030,12/09/2025,3,Northern,0.000000,0.000000,0.000000
Forecast,2030,12/09/2025,4,North West,0.000000,0.000000,0.000000
Forecast,2030,12/09/2025,5,Yorkshire,0.000000,0.000000,0.000000
Forecast,2030,12/09/2025,6,N Wales & Mersey,0.000000,0.000000,0.000000
Forecast,2030,12/09/2025,7,East Midlands,0.272941,0.000000,0.272941
Forecast,2030,12/09/2025,8,Midlands,0.614644,0.000000,0.614644
Forecast,2030,12/09/2025,9,Eastern,0.641888,0.000000,0.641888
