Publication,Year_FY,Published_Date,TDR Band,TDR Tariff in Â£/(Site Day),Notes
Forecast,2027,12/09/2025,Domestic,0.250081,Domestic
Forecast,2027,12/09/2025,LV_NoMIC_1,0.313001,LV_NoMIC_1
Forecast,2027,12/09/2025,LV_NoMIC_2,0.736421,LV_NoMIC_2
Forecast,2027,12/09/2025,LV_NoMIC_3,1.598634,LV_NoMIC_3
Forecast,2027,12/09/2025,LV_NoMIC_4,4.408981,LV_NoMIC_4
Forecast,2027,12/09/2025,LV1,7.275302,LV1
Forecast,2027,12/09/2025,LV2,14.408552,LV2
Forecast,2027,12/09/2025,LV3,18.014346,LV3
Forecast,2027,12/09/2025,LV4,48.233027,LV4
Forecast,2027,12/09/2025,HV1,39.247292,HV1
Forecast,2027,12/09/2025,HV2,146.538529,HV2
Forecast,2027,12/09/2025,HV3,233.351299,HV3
Forecast,2027,12/09/2025,HV4,667.799126,HV4
Forecast,2027,12/09/2025,EHV1,387.505699,EHV1
Forecast,2027,12/09/2025,EHV2,1394.461345,EHV2
Forecast,2027,12/09/2025,EHV3,2897.172813,EHV3
Forecast,2027,12/09/2025,EHV4,6598.392636,EHV4
Forecast,2027,12/09/2025,T-Demand1,1398.054947,T-Demand1
Forecast,2027,12/09/2025,T-Demand2,3967.319292,T-Demand2
Forecast,2027,12/09/2025,T-Demand3,10330.820329,T-Demand3
Forecast,2027,12/09/2025,T-Demand4,25891.311791,T-Demand4
Forecast,2027,12/09/2025,Unmetered,3.050214,Unmetered
Forecast,2028,12/09/2025,Domestic,0.279046,Domestic
Forecast,2028,12/09/2025,LV_NoMIC_1,0.314782,LV_NoMIC_1
Forecast,2028,12/09/2025,LV_NoMIC_2,0.891703,LV_NoMIC_2
Forecast,2028,12/09/2025,LV_NoMIC_3,1.935722,LV_NoMIC_3
Forecast,2028,12/09/2025,LV_NoMIC_4,5.338659,LV_NoMIC_4
Forecast,2028,12/09/2025,LV1,8.614476,LV1
Forecast,2028,12/09/2025,LV2,17.060752,LV2
Forecast,2028,12/09/2025,LV3,21.330268,LV3
Forecast,2028,12/09/2025,LV4,57.111336,LV4
Forecast,2028,12/09/2025,HV1,46.714685,HV1
Forecast,2028,12/09/2025,HV2,174.420047,HV2
Forecast,2028,12/09/2025,HV3,276.707854,HV3
Forecast,2028,12/09/2025,HV4,792.808941,HV4
Forecast,2028,12/09/2025,EHV1,461.184507,EHV1
Forecast,2028,12/09/2025,EHV2,1651.141483,EHV2
Forecast,2028,12/09/2025,EHV3,3448.403920,EHV3
Forecast,2028,12/09/2025,EHV4,7853.837001,EHV4
Forecast,2028,12/09/2025,T-Demand1,1606.164923,T-Demand1
Forecast,2028,12/09/2025,T-Demand2,4709.811109,T-Demand2
Forecast,2028,12/09/2025,T-Demand3,12264.254216,T-Demand3
Forecast,2028,12/09/2025,T-Demand4,30736.923080,T-Demand4
Forecast,2028,12/09/2025,Unmetered,3.512406,Unmetered
Forecast,2029,12/09/2025,Domestic,0.308099,Domestic
Forecast,2029,12/09/2025,LV_NoMIC_1,0.371093,LV_NoMIC_1
Forecast,2029,12/09/2025,LV_NoMIC_2,1.051219,LV_NoMIC_2
Forecast,2029,12/09/2025,LV_NoMIC_3,2.282001,LV_NoMIC_3
Forecast,2029,12/09/2025,LV_NoMIC_4,6.293687,LV_NoMIC_4
